"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q13478",-1.41474629715471,6.88915371407229,-7.55662098745248,8.13143491501513e-12,4.26630593038098e-11,16.4040925454257,"down-regulated"
"Q96B49",1.27658440207889,7.41546571734006,6.49871983498572,1.80755815635182e-09,9.22225712733402e-09,11.1177596026632,"up-regulated"
"Q8NCM8",-1.27035432361171,6.7937590871491,-12.7345873147152,3.19494636687549e-24,5.4606958937455e-21,44.505661454116,"down-regulated"
"Q8NDY4",-1.24661808372082,10.4962522164112,-8.97425374063305,3.93600162582604e-15,2.42659660829629e-14,23.9003573794314,"down-regulated"
"P51668;Q9Y2X8",-1.21643747470903,7.360918119899,-8.26972880352065,1.8243515718363e-13,1.01018678061133e-12,20.130044349754,"down-regulated"
"P0CE71;P0CE72",-1.21352828495159,8.97443250552309,-9.15066541719362,1.4913615004685e-15,9.58150198860817e-15,24.8548367761534,"down-regulated"
"Q6UW56",-1.21188003949865,8.51660971213604,-9.17024454273865,1.33880719134535e-15,8.63327187361988e-15,24.9609822240621,"down-regulated"
"Q8TAK5",-1.20738730673683,5.76756920689945,-7.26267328696255,3.76522435247724e-11,1.95427724595462e-10,14.9024628588798,"down-regulated"
"Q9P0W8",1.20135365256866,2.87832080129893,5.86621911647038,3.84223173459928e-08,1.9466263167897e-07,8.14110558283197,"up-regulated"
"P58005",-1.19981253909437,5.78757513320709,-8.52343415198871,4.62069006610812e-14,2.65141048054581e-13,21.4791521751581,"down-regulated"
"Q96JN2",-1.19641352397225,7.68773434557849,-7.69032269057366,4.02215046653466e-12,2.12309993376123e-11,17.0942582685885,"down-regulated"
"Q9H867",1.18239055420543,5.62048145769709,9.65573267018742,9.11753917701778e-17,7.36429649961724e-16,27.6045402913178,"up-regulated"
"P24723",-1.17293905481443,6.78471607471638,-7.87990247453471,1.47257899329811e-12,7.89763542706549e-12,18.0799047927984,"down-regulated"
"Q12946",-1.16804616370115,4.49314023361346,-12.20623128394,5.98633272709732e-23,3.25469427456373e-20,41.6211997138707,"down-regulated"
"Q96M89",-1.16764791243746,5.64918191902544,-10.7402677150593,2.14938398332912e-19,5.43531722993604e-18,33.5608744647495,"down-regulated"
"Q8IZP6",-1.16420621836396,5.50108969809447,-8.35297593013893,1.16387472401329e-13,6.52775385183211e-13,20.5715292344945,"down-regulated"
"Q9BTP7",-1.16263181658066,5.36915679502745,-7.28784927731371,3.30483518236531e-11,1.71736925038207e-10,15.0301816572281,"down-regulated"
"P0DPB5",-1.13973797439558,9.05149021224894,-10.8556010007965,1.12754529792753e-19,3.46590690695108e-18,34.1961421937809,"down-regulated"
"Q8N1G1",-1.13261975317489,5.49370827426282,-6.77522735439167,4.54407223008584e-10,2.3293390883628e-09,12.4660270392045,"down-regulated"
"O95476",1.13219857801189,6.73556417673091,6.88517538402119,2.60665397046699e-10,1.33935516178927e-09,13.0092408282277,"up-regulated"
"P60006",-1.13060109734741,9.05664557488246,-8.82856145868529,8.7494373610723e-15,5.23822130791245e-14,23.1148814252583,"down-regulated"
"Q9NXD2",1.12808634127333,5.90768280942231,12.779465635827,2.49284881355872e-24,5.42132295728683e-21,44.7498643812105,"up-regulated"
"P00747",1.123709345082,7.25088025743019,5.24964097586996,6.4543828924996e-07,3.24734972711706e-06,5.40718767923778,"up-regulated"
"Q9NPI0",-1.12358222745146,7.71385815777929,-7.41207886173974,1.73232242323648e-11,9.02363638307432e-11,15.6628976049313,"down-regulated"
"Q8N442",1.12012209454756,5.52080303259958,9.30998701733101,6.19095804945836e-16,4.22393286841084e-15,25.7197157358332,"up-regulated"
"O96011",-1.11989312247943,8.84010811293524,-11.9349424834784,2.71060465248107e-22,8.13087926618374e-20,40.1343376053912,"down-regulated"
"Q5VTA0",1.11918829450621,6.08137661496816,8.04490608498263,6.10496686457812e-13,3.31091687998535e-12,18.9440395153663,"up-regulated"
"A0A3B3IU46",1.11885863709618,6.86190431360361,8.63155857870489,2.56589326898858e-14,1.49702921173251e-13,22.0572468586344,"up-regulated"
