"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P51965",1.36000144227582,8.06885565288075,6.54520918002617,7.34885134030751e-10,3.70810080100551e-09,11.8677747098132,"up-regulated"
"Q99865;Q9BPZ2",-1.18653088462792,7.07176646889452,-12.3328053551179,4.11199411287694e-25,1.17665252591831e-23,46.4537412291996,"down-regulated"
"Q13002",1.1737589916558,8.41733478941061,12.2110176520633,8.99035589782859e-25,2.04196099099767e-23,45.6810760734034,"up-regulated"
"Q9H1C3",-1.15656798053721,7.30126402970867,-10.5384205319072,3.91216787857077e-20,2.45363722968184e-19,35.1339741927903,"down-regulated"
"P41279",-1.14979558508083,7.795521220525,-8.8542121647557,1.35579570155631e-15,7.23562380848979e-15,24.8264659237372,"down-regulated"
"P52849",1.1495382447918,4.45671572908893,8.27678219297714,4.29633650953008e-14,2.2433272086676e-13,21.4253176388773,"up-regulated"
"Q9Y5P8",1.14413336417591,8.61245463693312,8.89929670944113,1.03170072709707e-15,5.51953543974013e-15,25.0954957741523,"up-regulated"
"P05204",-1.14410591772548,12.3434156512369,-11.8645111043418,8.31068735487966e-24,1.1384987291354e-22,43.4844125157745,"down-regulated"
"P03973",1.13811460003072,6.73615203525078,11.8691340959098,8.06789113474278e-24,1.10984908977841e-22,43.5136975769416,"up-regulated"
"Q9BQB6",-1.12557482129533,9.20123057187175,-9.66606367670975,9.30256386327079e-18,5.17741542204687e-17,29.7359612363407,"down-regulated"
"Q13478",-1.12330632562179,6.72166603580274,-6.55424106581911,7.00530907932121e-10,3.5368069460833e-09,11.9145329835075,"down-regulated"
"Q9BYM8",-1.12292503351904,7.63543714059522,-11.7646621859252,1.57644880051084e-23,1.94242607870308e-22,42.8520874989346,"down-regulated"
"P61165",-1.12243078980475,8.68173166311039,-10.3614418272485,1.19634119431744e-19,7.22706392317183e-19,34.0308111969718,"down-regulated"
"Q6UX53",1.12190731742202,5.89020832801184,11.9919753283263,3.66854267716056e-24,5.88794331155344e-23,44.2921013664044,"up-regulated"
"Q96IG2",1.12169207513649,6.04049279232261,10.9139597606045,3.61281397440957e-21,2.51825871501513e-20,37.4855616318787,"up-regulated"
"P17097",1.12021390319698,6.2101747819311,11.2682802739379,3.77671731178487e-22,3.15294279224727e-21,39.7152868310198,"up-regulated"
"Q9H7H0",1.11980246280722,6.8013687655002,11.7775779010834,1.45118553026141e-23,1.8136359830891e-22,42.9338597792505,"up-regulated"
"Q7Z5Q1",-1.11937423228548,7.46412561351983,-12.4391275732221,2.07685315160755e-25,7.16926411342621e-24,47.1284376671599,"down-regulated"
