"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P62979",-1.15652382533632,15.5556432899224,-5.84862050687173,6.02161621804464e-07,6.26579419626439e-06,5.97231361721349,"down-regulated"
"Q9P206",-1.1565145941574,10.2050597152988,-7.23816827544874,5.74941212204165e-09,4.5589107784675e-07,10.4607790068465,"down-regulated"
"Q8TBC4",-1.15618531416629,9.88458289183091,-6.68641685477804,3.62772072959088e-08,1.13392587032871e-06,8.68281807596224,"down-regulated"
"P62487",-1.15533947706973,8.49042529050602,-8.27758488934823,1.88985488935922e-10,1.3161458402304e-07,13.7522987257516,"down-regulated"
"P54619",-1.15430945924324,9.04149944594539,-6.85357050752139,2.07332162873272e-08,8.01592215482043e-07,9.22285335797233,"down-regulated"
"Q99985",-1.15365508751934,7.37414838331739,-5.67722016461578,1.0681477759746e-06,9.57919330227117e-06,5.4200294205819,"down-regulated"
"Q96HP0",1.15305670745313,4.64358081516827,5.51134970653649,1.85721590093105e-06,1.46207430970129e-05,4.88741319374461,"up-regulated"
"Q9Y587",1.15245853073922,7.7630161633727,5.95147211239778,4.2668019996073e-07,4.96742355660653e-06,6.30442514012596,"up-regulated"
"O14735",-1.15194754888501,8.36217115230059,-6.07933553378999,2.77929207702151e-07,3.72527916456242e-06,6.71783128208929,"down-regulated"
"O14618",-1.15084558088764,9.23315981067159,-7.63595701700361,1.54004015139101e-09,3.34920231923759e-07,11.7314228377134,"down-regulated"
