"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"O14569",1.88705198924612,8.32879206012711,2.41415878370016,0.024162193666631,0.111742117334409,-3.76772189675375,"up-regulated"
"P00747",1.68739294169202,7.53926901621565,4.43203568070408,0.000193140404806609,0.00249647604964739,0.731224089442488,"up-regulated"
"Q96KR6",1.59701298213773,3.1787444943364,6.49793023935557,1.26876818792187e-06,0.000369446870423335,5.51051800778477,"up-regulated"
"Q9Y587",1.59665113291789,7.8205702170173,4.98917412493163,4.83684982517848e-05,0.0011987395051062,2.04905183796981,"up-regulated"
"Q969X0",1.49288049632828,4.69503651290262,6.00916137052133,4.02649112195653e-06,0.000513430020669981,4.41535449447852,"up-regulated"
"O95476",1.4872131963739,6.93104120982297,3.75601720284014,0.00103378191959301,0.00729940658972367,-0.857560626743723,"up-regulated"
"Q96GQ7",1.47165850759269,11.0045679087007,6.67528987811082,8.40266148609302e-07,0.000369446870423335,5.90024398892315,"up-regulated"
"Q8IZ07",1.45141558709393,5.68609458275914,5.61233323925702,1.04795597587832e-05,0.00063858940624026,3.50574460595742,"up-regulated"
"Q13478",-1.43147178665991,6.74629454786397,-2.47045461721583,0.0213668294866103,0.10052463477773,-3.65776310417104,"down-regulated"
"Q9Y619",-1.43007867040461,7.89674133625947,-5.67810828315078,8.93358103179397e-06,0.000616736499567414,3.65764149878574,"down-regulated"
"Q8N5I2",1.41595014396332,5.68512437290136,6.59828535903064,1.00441412930967e-06,0.000369446870423335,5.73156114592737,"up-regulated"
"Q7Z309",-1.41440128595358,7.49925847590845,-5.03523763350438,4.3159308047864e-05,0.00116597149288313,2.15760493803602,"down-regulated"
"A6NHL2",1.40823939070922,6.51852509741948,6.06814401691942,3.49769143706566e-06,0.000479952154679396,4.54907335254866,"up-regulated"
"Q96JN2",-1.40809037726581,7.82295925713489,-2.76057489451859,0.0111532560009425,0.0554095796414612,-3.06966399888261,"down-regulated"
"Q5VTA0",1.40775569795697,6.32791725737588,4.91781292017019,5.77195258272625e-05,0.00132132146097725,1.88068978908432,"up-regulated"
"Q9H3Y8",-1.40454015554588,8.89790860519209,-5.00335859986381,4.67001538212898e-05,0.00119054261068216,2.0824899210897,"down-regulated"
"Q8NDH3",-1.39949953062692,9.05028562117148,-7.79428300169273,6.84927907119441e-08,0.000228793797052485,8.25494826418207,"down-regulated"
"Q9NRY6",-1.39928396294876,7.65783636860944,-5.41891780128626,1.67934009780358e-05,0.00075692121817582,3.05677412380611,"down-regulated"
"P53567",-1.39485372694667,7.73436880631274,-6.62665629537975,9.40424282728985e-07,0.000369446870423335,5.7938038452633,"down-regulated"
"O43808",1.38546565088004,5.37349640217422,4.5697786224532,0.000137060045943763,0.00206277740426436,1.05737795921301,"up-regulated"
"Q8IWT3",1.37832990838389,4.97102910033924,3.68879968884596,0.00121961698998021,0.00831461457354061,-1.01327191135129,"up-regulated"
"Q9BSR8",1.36905105442638,7.25055362095712,4.00330954566051,0.000560983980402225,0.00466985612011384,-0.280213135930534,"up-regulated"
"P20851",-1.36893542259649,3.88631055248733,-3.41755362394486,0.00236444004561129,0.0141142308315695,-1.63456304131142,"down-regulated"
"O60765;Q96LW1",1.36412948473344,3.7408826620358,4.82978084025248,7.18050808508277e-05,0.00149433588115156,1.67272092217839,"up-regulated"
"Q4G148",1.36409043503937,5.24021498300434,5.87172889155082,5.59783993113798e-06,0.00054362280544422,4.10223830167198,"up-regulated"
"Q8NCG7",-1.36187181292401,8.4034770260543,-4.84664005049096,6.88624778134271e-05,0.00146106023048537,1.71257015009017,"down-regulated"
"A4D2B0",-1.36133029328781,6.52256618893235,-4.16216491028748,0.000378109326099404,0.00367095203988696,0.0934727769778618,"down-regulated"
"Q8NCM8",-1.36043614823158,6.91573439664563,-4.27669468258774,0.00028435785733539,0.00313117595058298,0.363800880917559,"down-regulated"
