,10,20,40,60,80,100
recall,0.4614942528735632,0.42701149425287355,0.39080459770114945,0.3735632183908046,0.36551724137931035,0.3235632183908046
precision,0.8921715139671227,0.8853891251868031,0.8781469134383263,0.8746982411771468,0.8730888607885964,0.8646970916197264
positive_precision,0.9987562189054726,1.0,1.0,1.0,1.0,1.0
