score,prob,y_pred
31350366.32255533,0.5077012149637509,1
22218173.521419164,0.1706756820187775,1
41913609.427507855,0.7216168502866365,1
34978188.23499049,0.5971107297977747,1
14255936.374937233,0.0,0
12815010.081820749,0.0,0
50177857.23653223,0.8165418821196724,1
40790656.92376832,0.7048090705524619,1
10361502.4347237,0.0,0
23236815.195389964,0.2181435024658029,1
30921405.05606656,0.4957433499593167,1
28556833.637092467,0.4238139903736099,1
11463016.35460232,0.0,0
29204913.617426384,0.4445864556120755,1
23804649.471508674,0.2433879256029028,1
13259507.208594937,0.0,0
17676116.123987567,0.0,0
10184409.976820728,0.0,0
33572549.29071734,0.5648178632580421,1
12857255.382042903,0.0,0
42710598.74970596,0.7328848498134651,1
37412962.56795575,0.6468731461556446,1
22698680.28685886,0.1934214716804646,1
37384946.92611508,0.6463415126547821,1
13759477.011997694,0.0,0
24814542.05063112,0.2862165982731055,1
17744083.7200342,0.0,0
11705657.66902424,0.0,0
20804675.20148176,0.0999777091980373,1
33357340.07732197,0.5596225414781208,1
11465379.036948975,0.0,0
10291982.77703725,0.0,0
18524547.82078816,0.0,0
62521166.09804612,0.8971287724281856,1
9767531.327416938,0.0,0
38248646.61106415,0.6623233142823649,1
29960170.851767585,0.4677664140721688,1
34325909.49111479,0.5824718760423515,1
34903980.656289555,0.5954747006179467,1
70247213.0625255,0.926627369788538,1
14932824.957189243,0.0,0
15427734.108249012,0.0,0
22674313.23662318,0.1922833659385073,1
21932702.436418347,0.1568571962558598,1
48600381.72460081,0.8017241401930235,1
10116957.021115258,0.0,0
41307210.74736647,0.7126800381248648,1
53136837.2504992,0.8410391900110268,1
19698013.929600246,0.0405533756880053,1
13692906.584793491,0.0,0
31568171.19217995,0.5136524160123633,1
50449518.27087909,0.8189633326115003,1
35923411.72839102,0.6173120908294207,1
36319022.91893807,0.6254266793352686,1
26597553.886180125,0.3557161035665688,1
49466022.90206426,0.8100186039904509,1
10465113.38571992,0.0,0
28956080.63411955,0.4367090807201242,1
18182777.41904909,0.0,0
26267285.428101707,0.3434070626210385,1
13177929.512821935,0.0,0
27803908.87322689,0.39861291176775,1
22263218.68302442,0.1728352429637431,1
10314366.888582624,0.0,0
13401212.968877856,0.0,0
39373298.19943477,0.6819221540456459,1
9315810.247511456,0.0,0
53811061.47948753,0.8460814908672716,1
9976306.494308684,0.0,0
24299569.33474262,0.2647023753281236,1
20799000.37718688,0.0996822346563093,1
42652915.41812391,0.7320869968846352,1
15588782.203677056,0.0,0
57519358.09905714,0.870734793273905,1
35931345.16604336,0.6174767508774753,1
21420033.85037801,0.1314609227245982,1
24038040.09258588,0.2535181261635721,1
10521228.785110507,0.0,0
53341084.41376302,0.8425864691458049,1
13466945.447774032,0.0,0
38577073.86133533,0.6681846958348907,1
42314766.66408547,0.7273548311258936,1
9844946.858067513,0.0,0
34302093.11550758,0.5819261994576685,1
46668292.239512056,0.781668405995862,1
13292939.281831771,0.0,0
20848990.902395293,0.1022818748410677,1
13572878.39621046,0.0,0
41382039.34791318,0.713800307231372,1
44772537.9337284,0.7597002094887215,1
41823797.05356038,0.7203134341756996,1
9766533.721239088,0.0,0
19137347.560063303,0.0090479227885263,0
16238072.301635576,0.0,0
20686645.52942872,0.0938127206222441,1
9130484.056323752,0.0,0
51504051.89436504,0.8280215122386685,1
9831786.787830755,0.0,0
35264918.0883789,0.6033627017921399,1
15824661.195665443,0.0,0
12929047.827996103,0.0,0
45346749.97753072,0.7666106672715606,1
18739363.12916456,0.0,0
9811344.284556754,0.0,0
13756713.425452154,0.0,0
23027667.055742152,0.20862849280109,1
21133329.376600493,0.1169293327002592,1
24473055.514023226,0.2720249763069716,1
46545043.02024707,0.7803121380237477,1
34026304.35464353,0.5755488473396088,1
36921202.03160774,0.6374086491778617,1
16909322.178592134,0.0,0
25066657.897710275,0.2965075696518006,1
12237783.65922065,0.0,0
9903702.916364986,0.0,0
23423439.26025284,0.226534687891993,1
13222528.118449911,0.0,0
23010688.35924091,0.2078508791212607,1
16039688.918220969,0.0,0
36724742.666452855,0.6335477485404767,1
21793730.94288288,0.1500469055205733,1
36423081.39058431,0.6275287436045036,1
19684806.10039488,0.0398220853362771,1
15813568.715181507,0.0,0
15035936.079041516,0.0,0
36947417.46265917,0.6379203647363004,1
38409077.98443461,0.665201029152486,1
12083514.67760246,0.0,0
65350108.97982557,0.9092850432830974,1
9607176.80895788,0.0,0
33428436.527574822,0.561346491370898,1
10780139.359189805,0.0,0
30169689.570348285,0.4740071700668282,1
14460807.28264947,0.0,0
29617343.28725113,0.4573787114640371,1
9528002.021927558,0.0,0
13502092.057378504,0.0,0
31420274.284527324,0.5096200927565656,1
15330155.985809855,0.0,0
11301071.448047703,0.0,0
15494249.75179695,0.0,0
21118638.11690793,0.116178295064953,1
24407987.85299809,0.2692875309738134,1
22380015.70953765,0.1784083674831127,1
14261875.641018704,0.0,0
26103452.4716646,0.3372080227561927,1
51865141.08102888,0.8310027086273686,1
